ADN/replicas/replica2/TRJ01/out:==== RAMD ==== GROMACS will be stopped after 10500 steps.
ADN/replicas/replica2/TRJ02/out:==== RAMD ==== GROMACS will be stopped after 92000 steps.
ADN/replicas/replica2/TRJ03/out:==== RAMD ==== GROMACS will be stopped after 10200 steps.
ADN/replicas/replica2/TRJ04/out:==== RAMD ==== GROMACS will be stopped after 51400 steps.
ADN/replicas/replica2/TRJ05/out:==== RAMD ==== GROMACS will be stopped after 11600 steps.
ADN/replicas/replica2/TRJ06/out:==== RAMD ==== GROMACS will be stopped after 41100 steps.
ADN/replicas/replica2/TRJ07/out:==== RAMD ==== GROMACS will be stopped after 78750 steps.
ADN/replicas/replica2/TRJ08/out:==== RAMD ==== GROMACS will be stopped after 104750 steps.
ADN/replicas/replica2/TRJ09/out:==== RAMD ==== GROMACS will be stopped after 38100 steps.
ADN/replicas/replica2/TRJ10/out:==== RAMD ==== GROMACS will be stopped after 64000 steps.
ADN/replicas/replica2/TRJ11/out:==== RAMD ==== GROMACS will be stopped after 7400 steps.
ADN/replicas/replica2/TRJ12/out:==== RAMD ==== GROMACS will be stopped after 93150 steps.
ADN/replicas/replica2/TRJ13/out:==== RAMD ==== GROMACS will be stopped after 13150 steps.
ADN/replicas/replica2/TRJ14/out:==== RAMD ==== GROMACS will be stopped after 22900 steps.
ADN/replicas/replica2/TRJ15/out:==== RAMD ==== GROMACS will be stopped after 40150 steps.
